time/s	Ewe/V	<I>/mA	cycle number	
0.000000000000000E+000	2.6494272E+000	2.344682343391469E-006	1.000000000000000E+000
7.332199814773048E+000	2.6489618E+000	-1.639675397067062E-006	1.000000000000000E+000
2.066459947796830E+001	2.6480258E+000	-4.651050935004851E-006	1.000000000000000E+000
3.399699914116354E+001	2.6469460E+000	-7.090497235660891E-006	1.000000000000000E+000
4.732939880435879E+001	2.6459334E+000	-9.166938049459735E-006	1.000000000000000E+000
6.066179846755404E+001	2.6449175E+000	-1.110605712947027E-005	1.000000000000000E+000
7.399399813075433E+001	2.6439424E+000	-1.319902468289071E-005	1.000000000000000E+000
8.732639779394958E+001	2.6429532E+000	-1.472593835490169E-005	1.000000000000000E+000
1.006587974571448E+002	2.6419547E+000	-1.642172324969109E-005	1.000000000000000E+000
1.139911971203401E+002	2.6409502E+000	-1.816742779263560E-005	1.000000000000000E+000
1.273235967835353E+002	2.6399553E+000	-1.973191348836497E-005	1.000000000000000E+000
1.406559964467306E+002	2.6389308E+000	-2.125705018667584E-005	1.000000000000000E+000
1.539881961099309E+002	2.6379597E+000	-2.269782171161749E-005	1.000000000000000E+000
1.673205957731261E+002	2.6369734E+000	-2.407129343379909E-005	1.000000000000000E+000
1.806529954363214E+002	2.6359534E+000	-2.560811050501084E-005	1.000000000000000E+000
1.939847950995318E+002	2.6349492E+000	-2.691756713641325E-005	1.000000000000000E+000
2.073165947627422E+002	2.6339638E+000	-2.817711254402466E-005	1.000000000000000E+000
2.206489944259374E+002	2.6329832E+000	-2.941977790596147E-005	1.000000000000000E+000
2.339811940891377E+002	2.6319780E+000	-3.061426100277252E-005	1.000000000000000E+000
2.473135937523330E+002	2.6309581E+000	-3.177421167768161E-005	1.000000000000000E+000
2.606459934155282E+002	2.6299405E+000	-3.301536258909033E-005	1.000000000000000E+000
2.739783930787235E+002	2.6289525E+000	-3.410274350745037E-005	1.000000000000000E+000
2.873107927419187E+002	2.6279514E+000	-3.523523891279525E-005	1.000000000000000E+000
3.006431924051140E+002	2.6269770E+000	-3.631673205374401E-005	1.000000000000000E+000
3.139753920683143E+002	2.6259763E+000	-3.735411213427612E-005	1.000000000000000E+000
3.273077917315095E+002	2.6249738E+000	-3.845449537833665E-005	1.000000000000000E+000
3.406401913947047E+002	2.6240036E+000	-3.934019330015736E-005	1.000000000000000E+000
3.539725910579000E+002	2.6229949E+000	-4.028721337519451E-005	1.000000000000000E+000
3.673049907210952E+002	2.6220021E+000	-4.132632306865338E-005	1.000000000000000E+000
3.806373903842905E+002	2.6210060E+000	-4.219340487794762E-005	1.000000000000000E+000
3.939690900475034E+002	2.6200233E+000	-4.312996910333560E-005	1.000000000000000E+000
4.073007897107163E+002	2.6190012E+000	-4.401218480200992E-005	1.000000000000000E+000
4.206331893739116E+002	2.6180310E+000	-4.485628656804134E-005	1.000000000000000E+000
4.339655890371068E+002	2.6170478E+000	-4.558655874240593E-005	1.000000000000000E+000
4.472979887003021E+002	2.6160562E+000	-4.649862031784360E-005	1.000000000000000E+000
4.606303883634973E+002	2.6150382E+000	-4.738493782762993E-005	1.000000000000000E+000
4.739626880266951E+002	2.6140289E+000	-4.815794373520940E-005	1.000000000000000E+000
4.872949876898929E+002	2.6130309E+000	-4.898804071133299E-005	1.000000000000000E+000
5.006273873530881E+002	2.6120272E+000	-4.987295424723945E-005	1.000000000000000E+000
5.139597870162834E+002	2.6110311E+000	-5.051074127343112E-005	1.000000000000000E+000
5.272921866794786E+002	2.6100404E+000	-5.131712952399276E-005	1.000000000000000E+000
5.406245863426739E+002	2.6090267E+000	-5.210658778212566E-005	1.000000000000000E+000
5.539569860058691E+002	2.6080096E+000	-5.285552330469741E-005	1.000000000000000E+000
5.672891856690694E+002	2.6070180E+000	-5.347930489207463E-005	1.000000000000000E+000
5.806215853322647E+002	2.6060183E+000	-5.414100315216620E-005	1.000000000000000E+000
5.939533849954751E+002	2.6049941E+000	-5.493984778404950E-005	1.000000000000000E+000
6.072851846586855E+002	2.6040249E+000	-5.557121621575258E-005	1.000000000000000E+000
6.206175843218807E+002	2.6030233E+000	-5.628994412396868E-005	1.000000000000000E+000
6.339499839850760E+002	2.6020367E+000	-5.693834224206648E-005	1.000000000000000E+000
6.472821836482763E+002	2.6010082E+000	-5.763664095247763E-005	1.000000000000000E+000
6.606145833114715E+002	2.6000137E+000	-5.822907223881836E-005	1.000000000000000E+000
6.739469829746668E+002	2.5990391E+000	-5.891671663080526E-005	1.000000000000000E+000
6.872793826378620E+002	2.5980372E+000	-5.957779856412141E-005	1.000000000000000E+000
7.006117823010572E+002	2.5970249E+000	-6.016721174068718E-005	1.000000000000000E+000
7.139441819642525E+002	2.5960491E+000	-6.079584942899203E-005	1.000000000000000E+000
7.272763816274528E+002	2.5950320E+000	-6.146258863695166E-005	1.000000000000000E+000
7.406087812906480E+002	2.5940478E+000	-6.204857344042179E-005	1.000000000000000E+000
7.539411809538433E+002	2.5930557E+000	-6.267821952742389E-005	1.000000000000000E+000
7.672735806170385E+002	2.5920348E+000	-6.340382757253423E-005	1.000000000000000E+000
7.806059802802338E+002	2.5910378E+000	-6.400961795273577E-005	1.000000000000000E+000
7.939377799434442E+002	2.5900252E+000	-6.461336149746004E-005	1.000000000000000E+000
8.072693796066596E+002	2.5890317E+000	-6.521249386117302E-005	1.000000000000000E+000
8.206017792698549E+002	2.5880332E+000	-6.588491544738499E-005	1.000000000000000E+000
8.339341789330501E+002	2.5870404E+000	-6.645292364844207E-005	1.000000000000000E+000
8.472665785962454E+002	2.5860512E+000	-6.693957263789122E-005	1.000000000000000E+000
8.605989782594406E+002	2.5850561E+000	-6.763288382478048E-005	1.000000000000000E+000
8.739313779226359E+002	2.5840566E+000	-6.821245784897456E-005	1.000000000000000E+000
8.872635775858362E+002	2.5830562E+000	-6.882101430183548E-005	1.000000000000000E+000
9.005959772490314E+002	2.5820587E+000	-6.935132666529501E-005	1.000000000000000E+000
9.139283769122267E+002	2.5810456E+000	-7.004732630580090E-005	1.000000000000000E+000
9.272607765754219E+002	2.5800407E+000	-7.066368008617997E-005	1.000000000000000E+000
9.405931762386172E+002	2.5790472E+000	-7.116734410757318E-005	1.000000000000000E+000
9.539255759018124E+002	2.5780599E+000	-7.176219513653606E-005	1.000000000000000E+000
9.672577755650127E+002	2.5770581E+000	-7.240922997423101E-005	1.000000000000000E+000
9.805901752282080E+002	2.5760400E+000	-7.291696265082707E-005	1.000000000000000E+000
9.939219748914184E+002	2.5750813E+000	-7.344047473851850E-005	1.000000000000000E+000
1.007253774554629E+003	2.5740919E+000	-7.406078854681891E-005	1.000000000000000E+000
1.020586174217824E+003	2.5730896E+000	-7.462943028904289E-005	1.000000000000000E+000
1.033918573881019E+003	2.5720811E+000	-7.523436915761006E-005	1.000000000000000E+000
1.047250773544220E+003	2.5710900E+000	-7.589838207015137E-005	1.000000000000000E+000
1.060583173207415E+003	2.5701103E+000	-7.637991033446740E-005	1.000000000000000E+000
1.073915572870610E+003	2.5690851E+000	-7.701088372957473E-005	1.000000000000000E+000
1.087247972533805E+003	2.5680859E+000	-7.761568891365288E-005	1.000000000000000E+000
1.100580372197001E+003	2.5670953E+000	-7.817052445927421E-005	1.000000000000000E+000
1.113912771860196E+003	2.5660753E+000	-7.878921187665512E-005	1.000000000000000E+000
1.127244971523396E+003	2.5650902E+000	-7.940780566216814E-005	1.000000000000000E+000
1.140577371186591E+003	2.5640731E+000	-8.000111017350553E-005	1.000000000000000E+000
1.153909770849787E+003	2.5630591E+000	-8.058170943778568E-005	1.000000000000000E+000
1.167242170512982E+003	2.5620625E+000	-8.119634032054221E-005	1.000000000000000E+000
1.180574570176177E+003	2.5610473E+000	-8.180793565439563E-005	1.000000000000000E+000
1.193906369839387E+003	2.5600741E+000	-8.236258747163102E-005	1.000000000000000E+000
1.207237969502603E+003	2.5590763E+000	-8.286934249261343E-005	1.000000000000000E+000
1.220570369165798E+003	2.5580852E+000	-8.352942363079336E-005	1.000000000000000E+000
1.233902768828993E+003	2.5570710E+000	-8.415133593372742E-005	1.000000000000000E+000
1.247235168492189E+003	2.5560775E+000	-8.480553284542173E-005	1.000000000000000E+000
1.260567568155384E+003	2.5551016E+000	-8.535334828300523E-005	1.000000000000000E+000
1.273899967818579E+003	2.5540960E+000	-8.591488462883078E-005	1.000000000000000E+000
1.287232167481779E+003	2.5529962E+000	-8.681256262425526E-005	1.000000000000000E+000
1.300564567144975E+003	2.5519485E+000	-8.731494740760385E-005	1.000000000000000E+000
1.313896966808170E+003	2.5509386E+000	-8.780253019864291E-005	1.000000000000000E+000
1.327229366471365E+003	2.5499458E+000	-8.842890899744328E-005	1.000000000000000E+000
1.340561766134560E+003	2.5489266E+000	-8.903961421331992E-005	1.000000000000000E+000
1.353894165797756E+003	2.5479095E+000	-8.965145735727320E-005	1.000000000000000E+000
1.367226365460956E+003	2.5469306E+000	-9.019185067625935E-005	1.000000000000000E+000
1.380558765124151E+003	2.5459394E+000	-9.080177250414545E-005	1.000000000000000E+000
1.393890564787362E+003	2.5449610E+000	-9.136273814031910E-005	1.000000000000000E+000
1.407222364450572E+003	2.5439725E+000	-9.206946936904598E-005	1.000000000000000E+000
1.420554764113767E+003	2.5429361E+000	-9.275179228361075E-005	1.000000000000000E+000
1.433887163776963E+003	2.5419424E+000	-9.330801517392154E-005	1.000000000000000E+000
1.447219363440163E+003	2.5409284E+000	-9.389081475419782E-005	1.000000000000000E+000
1.460551763103358E+003	2.5399756E+000	-9.448955160210883E-005	1.000000000000000E+000
1.473884162766553E+003	2.5389585E+000	-9.512817711715329E-005	1.000000000000000E+000
1.487216562429749E+003	2.5379517E+000	-9.578067343935914E-005	1.000000000000000E+000
1.500548962092944E+003	2.5369577E+000	-9.646148392962873E-005	1.000000000000000E+000
1.513881361756139E+003	2.5359688E+000	-9.706288187526457E-005	1.000000000000000E+000
1.527213561419339E+003	2.5349491E+000	-9.771470372401878E-005	1.000000000000000E+000
1.540545961082535E+003	2.5339553E+000	-9.838028046506319E-005	1.000000000000000E+000
1.553878360745730E+003	2.5329530E+000	-9.898256921474051E-005	1.000000000000000E+000
1.567210760408925E+003	2.5319481E+000	-9.959995749989325E-005	1.000000000000000E+000
1.580543160072120E+003	2.5309405E+000	-1.003012849838450E-004	1.000000000000000E+000
1.593874959735331E+003	2.5299540E+000	-1.009157831896299E-004	1.000000000000000E+000
1.607206559398546E+003	2.5289464E+000	-1.015085161065133E-004	1.000000000000000E+000
1.620538959061741E+003	2.5279515E+000	-1.022571483218658E-004	1.000000000000000E+000
1.633871358724937E+003	2.5269649E+000	-1.029833307509703E-004	1.000000000000000E+000
